45	50	40	73	97	24	61
45	50	69	73	39	65	6
45	50	46	73	82	11	64
45	50	47	73	1	78	2
45	50	52	73	62	13	15
45	50	43	73	43	63	9
45	27	40	76	97	11	64
45	27	69	76	39	68	1
45	27	46	76	82	8	56
45	27	47	76	1	72	0
45	27	52	76	62	17	55
45	27	43	76	43	60	7
45	40	69	97	39	91	2
45	40	46	97	82	61	27
45	40	47	97	1	76	5
45	40	52	97	62	66	18
45	40	43	97	43	74	10
45	69	46	39	82	2	87
45	69	47	39	1	18	4
45	69	52	39	62	5	63
45	69	43	39	43	9	22
45	46	47	82	1	81	1
45	46	52	82	62	38	25
45	46	43	82	43	64	3
45	47	52	1	62	2	76
45	47	43	1	43	2	60
45	52	43	62	43	44	18
46	52	45	100	89	64	31
46	52	40	100	79	69	5
46	52	41	100	94	67	20
46	52	42	100	74	59	30
46	52	47	100	98	54	35
46	45	40	89	79	55	23
46	45	41	89	94	43	35
46	45	42	89	74	56	22
46	45	47	89	98	15	47
46	40	41	79	94	26	60
46	40	42	79	74	24	21
46	40	47	79	98	13	71
46	41	42	94	74	53	22
46	41	47	94	98	26	71
46	42	47	74	98	8	70
47	52	41	76	75	50	12
47	52	45	76	20	58	13
47	52	46	76	99	23	64
47	41	45	75	20	20	13
47	41	46	75	99	6	79
47	45	46	20	99	18	72
48	40	30	71	84	16	38
48	40	55	71	100	6	77
48	40	69	71	72	28	25
48	40	43	71	100	13	84
48	40	42	71	88	19	30
48	40	78	71	73	9	25
48	30	55	84	100	25	72
48	30	69	84	72	49	20
48	30	43	84	100	20	55
48	30	42	84	88	21	41
48	30	78	84	73	14	22
48	55	69	100	72	77	18
48	55	43	100	100	35	26
48	55	42	100	88	61	22
48	55	78	100	73	78	11
48	69	43	72	100	9	75
48	69	42	72	88	23	53
48	69	78	72	73	5	37
48	43	42	100	88	67	22
48	43	78	100	73	50	23
48	42	78	88	73	50	26
50	34	60	86	11	79	0
50	34	52	86	62	43	11
50	34	59	86	87	41	6
50	34	45	86	77	17	45
50	34	41	86	72	21	33
50	34	54	86	99	20	69
50	34	40	86	0	81	4
50	34	32	86	1	82	0
